productID,name,price,SellerID
6,"Gucci Handbag",2799.99,10000
7,"Rolex Watch",7999.99,10001
8,"Armani Suit",1199.99,10002
9,"Canada Goose Parka",899.99,10003
10,"Tiffany Necklace",3499.99,10004
11,"Prada Shoes",649.99,10005
12,"Louis Vuitton Wallet",599.99,10006
13,"Burberry Trench Coat",1899.99,10007
14,"Hermès Belt",799.99,10008
15,"Versace Dress",2099.99,10009
16,"Cartier Ring",5499.99,10010
17,"Chanel Perfume",229.99,10011
18,"Bvlgari Watch",3899.99,10012
19,"YSL Clutch",1299.99,10013
20,"Moncler Jacket",1250.00,10014
22,"Tom Ford Sunglasses",450.00,10017
23,"Chopard Earrings",7200.00,10018
24,"Breitling Watch",5499.00,10019
25,"Christian Louboutin Heels",875.00,10020
26,"Jimmy Choo Bag",1899.00,10021
27,"Goyard Wallet",899.00,10022
28,"Valentino Shoes",789.00,10023
29,"Fendi Scarf",300.00,10024
30,"Bottega Veneta Belt",500.00,10024
31,"Miu Miu Skirt",950.00,10025
32,"Balenciaga Hat",390.00,10026
33,"Givenchy Boots",1100.00,10027
34,"Oscar de la Renta Gown",5500.00,10028
35,"Patek Philippe Watch",9500.00,10029
36,"Alexander McQueen Jacket",2300.00,10030
37,"Saint Laurent Bag",2100.00,10031
38,"Bulgari Necklace",6800.00,10032
39,"Omega Watch",4650.00,10033
40,"Moschino Sweater",700.00,10034
41,"TAG Heuer Watch",3200.00,10035
42,"Celine Handbag",2900.00,10036
43,"Loewe Scarf",450.00,10037
44,"IWC Schaffhausen Watch",8300.00,10038
45,"Mulberry Wallet",400.00,10039
46,"Kenzo Dress",850.00,10040
47,"Dior Sunglasses",650.00,10041
48,"Bentley Leather Bag",3200.00,10042
49,"Swarovski Earrings",275.00,10043
50,"La Mer Skincare Set",450.00,10044
51,"Tod's Loafers",699.00,10045
52,"David Yurman Bracelet",2200.00,10046
53,"Brioni Suit",5400.00,10047
54,"Chloé Bag",1500.00,10048
55,"Loro Piana Scarf",700.00,10049
56,"Van Cleef & Arpels Ring",6200.00,10050
57,"Graff Diamonds Necklace",9000.00,10051
58,"Bose Headphones",299.00,10052
59,"Roger Vivier Flats",975.00,10053
60,"Tissot Watch",800.00,10054
61,"Baccarat Crystal Vase",2500.00,10055
62,"Acne Studios Jacket",1100.00,10056
63,"Rado Watch",2600.00,10057
64,"Bally Shoes",499.00,10025
65,"Ferragamo Belt",450.00,10025
66,"Ermenegildo Zegna Tie",300.00,10058
67,"Ralph Lauren Dress",1700.00,10059
68,"Off-White Sneakers",700.00,10060
69,"Hublot Watch",8000.00,10061
70,"Vacheron Constantin Watch",9400.00,10062
71,"Rick Owens Boots",1200.00,10063
72,"Audemars Piguet Watch",9500.00,10064
73,"Gianvito Rossi Sandals",795.00,10065
74,"Issey Miyake Perfume",250.00,10066
75,"Marchesa Gown",4500.00,10067
76,"Oris Watch",1800.00,10068
77,"Asprey Jewelry Box",3800.00,10069
78,"Smythson Notebook",220.00,10070
79,"Mikimoto Pearl Earrings",3200.00,10071
80,"Glashütte Original Watch",7100.00,10072
81,"Piaget Bracelet",7100.00,10073
82,"Manolo Blahnik Heels",900.00,10074
83,"Longines Watch",2200.00,10075
84,"Max Mara Coat",1800.00,10076
85,"Montblanc Pen",299.99,10077
